trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.01, 'e': 0.371659872260533}",20,12,-7.33448061839619,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,-29.726210438841697,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,2,-0.6103498998131935,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,0,9.108915636414709,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,2,-45.09305841913516,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,3,12.587336381971173,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,12,10.453417081028974,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,21,18.410939848873337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,0,-46.304446108969884,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.28671520963195546}",30,12,11.324865563449642,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2771208750565576}",35,12,11.911661396834457,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,0,-2.0932692378583653,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,0,-20.59559447523724,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,11,16.660401361864444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,11,-36.59664061545236,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,11,13.962868449710081,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,-27.89834068863475,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,15,7.425951594959861,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,13,-9.577944190378439,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,7,7.577095893800047,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.17981297767299934}",35,22,9.683605918596566,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,12,15.512474338447992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,4,5.445962277562385,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,4,-11.388788897192338,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.1403316058467367}",30,20,-24.264809471380048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,15,16.194278138279003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,4,-58.99305230338029,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,9,19.99877282784678,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,7,24.4349653747622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,1,29.4701150115701,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,8,22.663267774869723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,0,43.073231069046585,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,8,20.274779590776244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,10,21.013840568374697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,13,12.77362466544462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.030791459082466124}",25,13,24.405372298815678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.02079482780309243}",25,8,28.03187406948581,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,17,14.826700365894142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,10,30.807592721131652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,18,9.994728891027487,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,22,25.604766002971246,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,1,35.02935207213433,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,7,31.611977412051896,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,24.376161002218208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,14.332711117306376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,12,36.340843890099876,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,12,34.35007784891795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,13.59889412936463,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,16,29.634814969777313,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
